142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142
252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252
201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137
216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216
156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
